-79200	0.09
-77400	-0.07
-75600	-0.23
-73800	-0.38
-72000	-0.52
-70200	-0.62
-68400	-0.68
-66600	-0.7
-64800	-0.67
-63000	-0.62
-61200	-0.53
-59400	-0.42
-57600	-0.27
-55800	-0.12
-54000	0.04
-52200	0.18
-50400	0.31
-48600	0.41
-46800	0.49
-45000	0.54
-43200	0.54
-41400	0.5
-39600	0.42
-37800	0.32
-36000	0.2
-34200	0.05
-32400	-0.1
-30600	-0.25
-28800	-0.39
-27000	-0.49
-25200	-0.56
-23400	-0.6
-21600	-0.6
-19800	-0.57
-18000	-0.49
-16200	-0.38
-14400	-0.24
-12600	-0.1
-10800	0.06
-9000	0.22
-7200	0.36
-5400	0.49
-3600	0.6
-1800	0.66
0	0.68
1800	0.67
3600	0.61
5400	0.52
7200	0.39
9000	0.24
10800	0.07
12600	-0.1
14400	-0.26
16200	-0.4
18000	-0.51
19800	-0.6
21600	-0.64
23400	-0.64
25200	-0.6
27000	-0.53
28800	-0.42
30600	-0.28
32400	-0.13
34200	0.03
36000	0.19
37800	0.35
39600	0.48
41400	0.58
43200	0.65
45000	0.68
46800	0.67
48600	0.61
50400	0.52
52200	0.4
54000	0.26
55800	0.1
57600	-0.05
59400	-0.19
61200	-0.32
63000	-0.42
64800	-0.49
66600	-0.52
68400	-0.51
70200	-0.46
72000	-0.38
73800	-0.27
75600	-0.13
77400	0.03
79200	0.2
81000	0.36
82800	0.51
84600	0.64
86400	0.73
88200	0.79
90000	0.8
91800	0.76
93600	0.69
95400	0.58
97200	0.44
99000	0.29
100800	0.13
102600	-0.03
104400	-0.18
106200	-0.3
108000	-0.4
109800	-0.47
111600	-0.5
113400	-0.49
115200	-0.44
117000	-0.35
118800	-0.22
120600	-0.05
122400	0.13
124200	0.32
126000	0.51
127800	0.68
129600	0.84
131400	0.95
133200	1.02
135000	1.02
136800	0.98
138600	0.92
140400	0.82
142200	0.69
144000	0.53
145800	0.35
147600	0.19
149400	0.06
151200	-0.07
153000	-0.19
154800	-0.28
156600	-0.31
158400	-0.29
160200	-0.23
162000	-0.15
163800	-0.04
165600	0.09
167400	0.26
169200	0.43
171000	0.58
172800	0.71
174600	0.81
176400	0.89
178200	0.94
180000	0.95
181800	0.9
183600	0.79
185400	0.66
187200	0.52
189000	0.37
190800	0.2
192600	0.01
194400	-0.16
196200	-0.3
198000	-0.38
199800	-0.43
201600	-0.45
203400	-0.44
205200	-0.39
207000	-0.28
208800	-0.13
210600	0.05
212400	0.22
214200	0.37
216000	0.53
217800	0.69
219600	0.84
221400	0.94
223200	0.98
225000	0.97
226800	0.92
228600	0.85
230400	0.74
232200	0.59
234000	0.41
235800	0.22
237600	0.04
239400	-0.11
241200	-0.23
243000	-0.34
244800	-0.41
246600	-0.45
248400	-0.42
250200	-0.36
252000	-0.26
253800	-0.14
255600	0
257400	0.16
