1927828.71355295,5633478.99909281
1927834.8333905,5633557.21918296
1927853.11420574,5633633.51889926
1927883.10586394,5633706.0194879
1927924.06987032,5633772.93574225
1927974.99755423,5633832.61996064
1927991.18722628,5633846.46012732
1928005.01268356,5633862.66278954
1928021.20313173,5633876.50365329
1928035.02867776,5633892.70638401
1928094.66590981,5633943.6889029
1928151.37012583,5633978.47322958
1928155.10444741,5633982.84965307
1928214.74171358,5634033.83236929
1928281.62020583,5634074.85807028
1928296.98137295,5634081.22918665
1928303.33836582,5634096.59640916
1928344.30217772,5634163.51268804
1928362.65700019,5634185.02355522
1928363.35571485,5634186.71261253
1928404.31951013,5634253.62895715
1928455.2469957,5634313.31330114
1928471.43708307,5634327.15390773
1928485.2626957,5634343.35680114
1928501.45228562,5634357.19698247
1928515.27770729,5634373.39971218
1928531.46824447,5634387.24074531
1928545.2939957,5634403.44380114
1928561.48392078,5634417.28426899
1928575.3091073,5634433.48671219
1928591.49935851,5634447.32751017
1928605.3253957,5634463.53090113
1928664.96256783,5634514.51361784
1928731.84096142,5634555.53934358
1928765.94849885,5634569.68564802
1928791.88608883,5634585.59675554
1928864.35889781,5634615.65532028
1928940.64164072,5634634.00657335
1929018.85598459,5634640.19864631
1929056.48447199,5634640.21608451
1929085.30736051,5634664.85633072
1929152.18552388,5634705.88211432
1929224.65814258,5634735.94077688
1929300.94070777,5634754.29217748
1929379.15489747,5634760.48444566
1929409.18459747,5634760.49844566
1929487.40485583,5634754.37905593
1929563.70480347,5634736.09863636
1929636.2056745,5634706.10731345
1929703.12224929,5634665.14357624
1929762.80681274,5634614.21609215
1929776.64789192,5634598.02550104
1929792.85100168,5634584.19970376
1929806.69151559,5634568.00972475
1929822.89401273,5634554.18449216
1929836.73485678,5634537.99418701
1929852.93830168,5634524.16810376
1929903.92101829,5634464.53093155
1929920.96741195,5634436.74262536
1929924.20239884,5634435.96755393
1929941.79440963,5634428.6902169
1929998.06551091,5634424.28771562
1930074.36523623,5634406.00700935
1930146.86585183,5634376.01545979
1930213.78215115,5634335.05155872
1930273.46643215,5634284.12397377
1930320.27021568,5634229.37495189
1930382.25193361,5634244.28557405
1930460.46632903,5634250.47734721
1930490.49622903,5634250.49114721
1930520.52612903,5634250.50494721
1930598.74618216,5634244.38506225
1930675.0458557,5634226.10421107
1930715.29888722,5634209.45252707
1930711.21005279,5634261.1026298
1930711.19625279,5634291.1326298
1930717.31612488,5634369.35260068
1930735.59693779,5634445.65219805
1930765.58855817,5634518.15267657
1930806.55249438,5634585.06883762
1930857.48008047,5634644.75298672
1930917.11731291,5634695.73550515
1930983.99572823,5634736.76103676
1931018.10369694,5634750.90743662
1931044.04166912,5634766.81870459
1931116.51444515,5634796.87709603
1931192.79712484,5634815.22819792
1931211.99234086,5634816.74781593
1931236.62095075,5634826.9626304
1931312.90364833,5634845.31371753
1931391.11792043,5634851.50564669
1931571.29842043,5634851.58884669
1931649.51843232,5634845.46914382
1931725.81809564,5634827.1884874
1931728.93124836,5634825.90066218
1931744.4603508,5634839.17613535
1931758.28648789,5634855.37959388
1931774.47714482,5634869.22063575
1931788.3024462,5634885.42315177
1931847.93967373,5634936.40586759
1931914.81812533,5634977.43157821
1931987.29102981,5635007.49009342
1932063.57386185,5635025.84127202
1932098.06868655,5635028.57211214
1932092.20915395,5635102.58503501
1932092.18125419,5635162.64521812
1932092.16725433,5635192.67520211
1932098.28661884,5635270.89529603
1932116.56696237,5635347.19509128
1932146.5581622,5635419.69583368
1932162.44561283,5635445.64894757
1932176.5605622,5635479.77043368
1932217.52413546,5635546.68691432
1932268.45142301,5635606.37142736
1932269.67748328,5635607.41957068
1933485.51109184,5635607.41957068
1933486.07502224,5635606.93838238
1933537.05793611,5635547.30126957
1933578.08385474,5635480.42289689
1933594.25451414,5635441.43475339
1933647.47947617,5635428.68262348
1933660.90230173,5635423.1299846
1933673.15698489,5635423.13564663
1933751.37701212,5635417.0159628
1933827.67669308,5635398.73532068
1933900.17727838,5635368.74384985
1933903.94047531,5635366.44015228
1933956.69343233,5635398.80063885
1933990.80254817,5635412.94751412
1934016.74031324,5635428.85867406
1934089.21303245,5635458.91709428
1934165.49565901,5635477.2682398
1934243.70986942,5635483.46024644
1934303.77106942,5635483.48804644
1934381.9911429,5635477.36842111
1934458.29087715,5635459.08782317
1934530.7915195,5635429.0963816
1934597.70786352,5635388.13258525
1934657.39220673,5635337.20509871
1934708.37492251,5635277.56792575
1934729.31123138,5635243.43844407
1934754.34363508,5635243.44994721
1934832.56368814,5635237.33006131
1934908.86336146,5635219.0492092
1934981.36390388,5635189.05752614
1935048.28011141,5635148.09350689
1935069.79327886,5635129.73661667
1935071.48421234,5635129.03711646
1935138.40032352,5635088.07303518
1935198.08439728,5635037.14530963
1935249.0668155,5634977.50794782
1935290.09222345,5634910.62941768
1935292.14694199,5634905.67531576
1935357.11069441,5635042.75463557
1935381.13714793,5635087.44169401
1935462.68582931,5635222.23579597
1935471.4617034,5635242.37158847
1935492.19638555,5635302.16290089
1935509.0425301,5635344.42387775
1935544.4452301,5635422.68329531
1935583.04401179,5635492.54988174
1935632.2688432,5635555.38396341
1935688.52501089,5635607.41957068
1936000.0,5635607.41957068
1936000.0,5629090.40380703
1933196.31805357,5629090.40380703
1933197.75921786,5629142.263141
1933211.37641517,5629217.08339417
1933219.61499982,5629248.53983715
1933219.96529006,5629249.86984404
1933239.72324317,5629324.47149501
1933248.35009274,5629358.56305778
1933264.09161144,5629455.23708659
1933275.52392275,5629507.58366184
1933328.231392,5629699.05227407
1933355.10210379,5629808.59452358
1933361.11125382,5629830.85931268
1933417.04567382,5630020.59762268
1933418.21265842,5630024.49761133
1933454.51785117,5630144.05296938
1933485.89821274,5630248.29636459
1933487.43535817,5630253.30734756
1933509.37400817,5630323.51119756
1933510.10039755,5630325.81606967
1933546.95621755,5630441.78322967
1933549.95856025,5630450.92447738
1933587.33734181,5630561.14315561
1933612.86090477,5630642.33876397
1933636.65521324,5630718.32712076
1933646.33483423,5630745.85887409
1933603.33509692,5630735.51555823
1933525.12057776,5630729.3253483
1933435.02957776,5630729.2857483
1933356.80964699,5630735.40719659
1933280.51033885,5630753.68957271
1933208.01039554,5630783.6827039
1933141.09500627,5630824.64805971
1933106.53580644,5630854.13814303
1933061.57222056,5630850.57954489
1933001.32247135,5630813.62192319
1932933.10457218,5630785.32990751
1932881.2279747,5630753.50847188
1932847.11910466,5630739.36253031
1932821.18161652,5630723.45225027
1932787.07200357,5630709.305934
1932761.13407177,5630693.39542341
1932727.02478206,5630679.24927447
1932701.08645288,5630663.33855873
1932666.9779929,5630649.1928038
1932641.03945257,5630633.28195858
1932572.82137323,5630604.98996794
1932520.94593503,5630573.16920467
1932448.47238008,5630543.11225799
1932372.18915095,5630524.76273035
1932293.9745959,5630518.57244849
1932053.7339959,5630518.46664849
1931975.51401885,5630524.58803786
1931899.21465732,5630542.87036939
1931885.79337919,5630548.42272463
1931813.4807043,5630548.39084858
1931735.26070419,5630554.51220859
1931658.96131604,5630572.7945179
1931641.36936581,5630580.07226518
1931585.09760729,5630584.47599231
1931508.79838034,5630602.75823215
1931436.29848924,5630632.75119993
1931369.38311686,5630673.71637132
1931354.27010632,5630686.61256203
1931328.57920279,5630692.7683951
1931256.07923553,5630722.76132368
1931246.52455434,5630728.61063011
1931242.83294557,5630728.31844904
1931182.77304557,5630728.29184904
1931104.5530944,5630734.41303641
1931077.66291085,5630740.85620379
1931050.77844464,5630734.38921995
1931031.58391446,5630732.8700236
1931006.95563101,5630722.65586505
1930930.67250951,5630704.30614614
1930852.45803159,5630698.11564912
1930750.11652377,5630698.07028489
1930736.70049033,5630692.50621928
1930660.41734514,5630674.15652003
1930582.20284667,5630667.96604904
1930552.17382546,5630667.95274938
1930492.11427918,5630667.92604941
1930413.89423553,5630674.04711936
1930357.43363623,5630687.57558098
1930348.98959486,5630680.35721803
1930335.16334288,5630664.15423105
1930318.97292524,5630650.31390204
1930305.14694306,5630634.11123122
1930245.50875228,5630583.12970618
1930178.629539,5630542.10531678
1930106.15609141,5630512.04821963
1930029.87294631,5630493.69852022
1929951.6584479,5630487.50804904
1929861.5695479,5630487.46814904
1929783.34976115,5630493.58931008
1929707.05054424,5630511.87135455
1929658.7962159,5630531.83387089
1929616.94805416,5630541.86111621
1929544.44806201,5630571.85395571
1929477.53257342,5630612.81902216
1929417.84926701,5630663.74762137
1929366.86774136,5630723.38572433
1929325.84332871,5630790.26484551
1929295.78618455,5630862.73820176
1929277.43641427,5630939.02126157
1929272.9829848,5630995.28792326
1929265.6900494,5631012.87249517
1929261.22826105,5631031.4208022
1929216.55998554,5631083.67340101
1929175.53537342,5631150.55247764
1929161.38943044,5631184.66074841
1929145.47907939,5631210.59806988
1929115.42171736,5631283.07137174
1929097.07172845,5631359.35441312
1929090.88094993,5631437.56885397
1929090.82225297,5631568.91365408
1929033.49165687,5631592.63047696
1928966.57589413,5631633.59498438
1928906.89222356,5631684.52306737
1928893.05182905,5631700.71327095
1928876.84956547,5631714.53862586
1928863.00855651,5631730.72951136
1928846.80518732,5631744.55590294
1928832.96536045,5631760.74551483
1928816.7632652,5631774.57072613
1928802.92255084,5631790.76126703
1928786.72016546,5631804.58672587
1928772.87958176,5631820.77711391
1928756.67637626,5631834.60331453
1928742.83605353,5631850.79345735
1928726.63357086,5631864.6190202
1928675.65145063,5631924.25681138
1928640.86747894,5631980.96157151
1928636.4908652,5631984.69612613
1928622.65028965,5632000.88650466
1928606.44835468,5632014.71153719
1928602.70952581,5632019.08511469
1928586.93763677,5632028.74026948
1928552.81635562,5632042.85561596
1928485.90030501,5632083.82005063
1928464.38983656,5632102.17485072
1928462.70100099,5632102.87348928
1928436.74913679,5632118.76056947
1928426.87449511,5632122.84552712
1928385.02652993,5632132.8722073
1928336.77278325,5632152.83384778
1928294.92474688,5632162.86050448
1928222.42417535,5632192.85255144
1928196.47258363,5632208.73946778
1928162.35157519,5632222.85465152
